,regime
2023-02-15,high_vol_cluster
2023-02-16,high_vol_cluster
2023-02-17,high_vol_cluster
2023-02-20,high_vol_cluster
2023-02-21,high_vol_cluster
2023-02-22,high_vol_cluster
2023-02-23,high_vol_cluster
2023-02-24,high_vol_cluster
2023-02-27,high_vol_cluster
2023-02-28,high_vol_cluster
2023-03-01,high_vol_cluster
2023-03-02,high_vol_cluster
2023-03-03,bull
2023-03-06,bull
2023-03-07,bull
2023-03-08,bull
2023-03-09,bull
2023-03-10,bull
2023-03-13,bull
2023-03-14,bull
2023-03-15,bull
2023-03-16,bull
2023-03-17,bull
2023-03-20,bull
2023-03-21,bull
2023-03-22,bull
2023-03-23,bull
2023-03-24,bull
2023-03-27,bull
2023-03-28,bull
2023-03-29,bull
2023-03-30,bull
2023-03-31,bull
2023-04-03,bull
2023-04-04,bull
2023-04-05,bull
2023-04-06,bull
2023-04-07,bull
2023-04-10,bull
2023-04-11,bull
2023-04-12,bull
2023-04-13,bull
2023-04-14,bull
2023-04-17,bull
2023-04-18,bull
2023-04-19,bull
2023-04-20,bull
2023-04-21,bull
2023-04-24,bull
2023-04-25,bull
2023-04-26,bull
2023-04-27,bull
2023-04-28,bull
2023-05-01,bull
2023-05-02,bull
2023-05-03,bull
2023-05-04,bull
2023-05-05,bull
2023-05-08,bull
2023-05-09,bull
2023-05-10,bull
2023-05-11,bull
2023-05-12,bull
2023-05-15,bull
2023-05-16,bull
2023-05-17,bull
2023-05-18,bull
2023-05-19,bull
2023-05-22,choppy
2023-05-23,choppy
2023-05-24,choppy
2023-05-25,choppy
2023-05-26,choppy
2023-05-29,choppy
2023-05-30,choppy
2023-05-31,choppy
2023-06-01,choppy
2023-06-02,choppy
2023-06-05,choppy
2023-06-06,choppy
2023-06-07,choppy
2023-06-08,choppy
2023-06-09,bull
2023-06-12,bull
2023-06-13,bull
2023-06-14,bull
2023-06-15,bull
2023-06-16,bull
2023-06-19,bull
2023-06-20,bull
2023-06-21,bull
2023-06-22,bull
2023-06-23,bull
2023-06-26,bull
2023-06-27,bull
2023-06-28,bull
2023-06-29,bull
2023-06-30,bull
2023-07-03,bull
2023-07-04,bull
2023-07-05,bull
2023-07-06,bull
2023-07-07,bull
2023-07-10,bull
2023-07-11,bull
2023-07-12,bull
2023-07-13,bull
2023-07-14,bull
2023-07-17,bull
2023-07-18,bull
2023-07-19,bull
2023-07-20,bull
2023-07-21,bull
2023-07-24,bull
2023-07-25,bull
2023-07-26,bull
2023-07-27,bull
2023-07-28,bull
2023-07-31,bull
2023-08-01,bull
2023-08-02,choppy
2023-08-03,choppy
2023-08-04,choppy
2023-08-07,choppy
2023-08-08,choppy
2023-08-09,choppy
2023-08-10,choppy
2023-08-11,choppy
2023-08-14,choppy
2023-08-15,choppy
2023-08-16,choppy
2023-08-17,choppy
2023-08-18,choppy
2023-08-21,choppy
2023-08-22,choppy
2023-08-23,choppy
2023-08-24,choppy
2023-08-25,choppy
2023-08-28,choppy
2023-08-29,choppy
2023-08-30,choppy
2023-08-31,choppy
2023-09-01,choppy
2023-09-04,choppy
2023-09-05,choppy
2023-09-06,choppy
2023-09-07,choppy
2023-09-08,choppy
2023-09-11,choppy
2023-09-12,choppy
2023-09-13,choppy
2023-09-14,choppy
2023-09-15,choppy
2023-09-18,choppy
2023-09-19,choppy
2023-09-20,choppy
2023-09-21,choppy
2023-09-22,choppy
2023-09-25,choppy
2023-09-26,choppy
2023-09-27,choppy
2023-09-28,choppy
2023-09-29,choppy
2023-10-02,choppy
2023-10-03,choppy
2023-10-04,bull
2023-10-05,bull
2023-10-06,bull
2023-10-09,bull
2023-10-10,bull
2023-10-11,bull
2023-10-12,bull
2023-10-13,bull
2023-10-16,bull
2023-10-17,bull
2023-10-18,bull
2023-10-19,bull
2023-10-20,bull
2023-10-23,bull
2023-10-24,bull
2023-10-25,bull
2023-10-26,bull
2023-10-27,bull
2023-10-30,bull
2023-10-31,bull
2023-11-01,bull
2023-11-02,bull
2023-11-03,bull
2023-11-06,bull
2023-11-07,bull
2023-11-08,bull
2023-11-09,bull
2023-11-10,bull
2023-11-13,bull
2023-11-14,bull
2023-11-15,bull
2023-11-16,bull
2023-11-17,bull
2023-11-20,bull
2023-11-21,bull
2023-11-22,bull
2023-11-23,bull
2023-11-24,bull
2023-11-27,bull
2023-11-28,bull
2023-11-29,bull
2023-11-30,bull
2023-12-01,bull
2023-12-04,bull
2023-12-05,bull
2023-12-06,bull
2023-12-07,bull
2023-12-08,bull
2023-12-11,bull
2023-12-12,bull
2023-12-13,bull
2023-12-14,bull
2023-12-15,bull
2023-12-18,bull
2023-12-19,bull
2023-12-20,bull
2023-12-21,bull
2023-12-22,bull
2023-12-25,bull
2023-12-26,bull
2023-12-27,bull
2023-12-28,bull
2023-12-29,bull
2024-01-01,bull
2024-01-02,bull
2024-01-03,bull
2024-01-04,bull
2024-01-05,bull
2024-01-08,bull
2024-01-09,bull
2024-01-10,bull
2024-01-11,bull
2024-01-12,bull
2024-01-15,bull
2024-01-16,bull
2024-01-17,bull
2024-01-18,bull
2024-01-19,bull
2024-01-22,bull
2024-01-23,bull
2024-01-24,bull
2024-01-25,bull
2024-01-26,bull
2024-01-29,bull
2024-01-30,bull
2024-01-31,bull
2024-02-01,bull
2024-02-02,bull
2024-02-05,bull
2024-02-06,bull
2024-02-07,bull
2024-02-08,bull
2024-02-09,bull
2024-02-12,bull
2024-02-13,bull
2024-02-14,bull
2024-02-15,bull
2024-02-16,bull
2024-02-19,bull
2024-02-20,bull
2024-02-21,bull
2024-02-22,bull
2024-02-23,bull
2024-02-26,bull
2024-02-27,bull
2024-02-28,bull
2024-02-29,bull
2024-03-01,bull
2024-03-04,bull
2024-03-05,bull
2024-03-06,bull
2024-03-07,bull
2024-03-08,bull
2024-03-11,bull
2024-03-12,bull
2024-03-13,bull
2024-03-14,bull
2024-03-15,bull
2024-03-18,bull
2024-03-19,bull
2024-03-20,bull
2024-03-21,bull
2024-03-22,bull
2024-03-25,bull
2024-03-26,bull
2024-03-27,bull
2024-03-28,bull
2024-03-29,bull
2024-04-01,bull
2024-04-02,bull
2024-04-03,high_vol_cluster
2024-04-04,high_vol_cluster
2024-04-05,high_vol_cluster
2024-04-08,high_vol_cluster
2024-04-09,high_vol_cluster
2024-04-10,high_vol_cluster
2024-04-11,high_vol_cluster
2024-04-12,high_vol_cluster
2024-04-15,high_vol_cluster
2024-04-16,high_vol_cluster
2024-04-17,high_vol_cluster
2024-04-18,high_vol_cluster
2024-04-19,high_vol_cluster
2024-04-22,high_vol_cluster
2024-04-23,high_vol_cluster
2024-04-24,high_vol_cluster
2024-04-25,high_vol_cluster
2024-04-26,high_vol_cluster
2024-04-29,crash
2024-04-30,crash
2024-05-01,crash
2024-05-02,crash
2024-05-03,crash
2024-05-06,crash
2024-05-07,crash
2024-05-08,crash
2024-05-09,crash
2024-05-10,choppy
2024-05-13,choppy
2024-05-14,choppy
2024-05-15,choppy
2024-05-16,crash
2024-05-17,choppy
2024-05-20,choppy
2024-05-21,choppy
2024-05-22,high_vol_cluster
2024-05-23,high_vol_cluster
2024-05-24,bull
2024-05-27,bull
2024-05-28,bull
2024-05-29,bull
2024-05-30,bull
2024-05-31,bull
2024-06-03,bull
2024-06-04,bull
2024-06-05,bull
2024-06-06,bull
2024-06-07,bull
2024-06-10,bull
2024-06-11,bull
2024-06-12,choppy
2024-06-13,choppy
2024-06-14,choppy
2024-06-17,choppy
2024-06-18,choppy
2024-06-19,choppy
2024-06-20,choppy
2024-06-21,choppy
2024-06-24,choppy
2024-06-25,choppy
2024-06-26,choppy
2024-06-27,choppy
2024-06-28,choppy
