,regime
2023-07-04,choppy
2023-07-05,choppy
2023-07-06,choppy
2023-07-07,choppy
2023-07-08,choppy
2023-07-09,choppy
2023-07-10,choppy
2023-07-11,choppy
2023-07-12,choppy
2023-07-13,choppy
2023-07-14,choppy
2023-07-15,choppy
2023-07-16,choppy
2023-07-17,choppy
2023-07-18,choppy
2023-07-19,choppy
2023-07-20,choppy
2023-07-21,choppy
2023-07-22,choppy
2023-07-23,choppy
2023-07-24,choppy
2023-07-25,choppy
2023-07-26,choppy
2023-07-27,choppy
2023-07-28,choppy
2023-07-29,choppy
2023-07-30,choppy
2023-07-31,choppy
2023-08-01,choppy
2023-08-02,choppy
2023-08-03,choppy
2023-08-04,choppy
2023-08-05,choppy
2023-08-06,choppy
2023-08-07,choppy
2023-08-08,choppy
2023-08-09,choppy
2023-08-10,choppy
2023-08-11,choppy
2023-08-12,choppy
2023-08-13,choppy
2023-08-14,choppy
2023-08-15,choppy
2023-08-16,choppy
2023-08-17,choppy
2023-08-18,choppy
2023-08-19,choppy
2023-08-20,choppy
2023-08-21,choppy
2023-08-22,choppy
2023-08-23,choppy
2023-08-24,choppy
2023-08-25,choppy
2023-08-26,choppy
2023-08-27,choppy
2023-08-28,choppy
2023-08-29,high_vol_cluster
2023-08-30,high_vol_cluster
2023-08-31,high_vol_cluster
2023-09-01,high_vol_cluster
2023-09-02,high_vol_cluster
2023-09-03,high_vol_cluster
2023-09-04,high_vol_cluster
2023-09-05,high_vol_cluster
2023-09-06,high_vol_cluster
2023-09-07,high_vol_cluster
2023-09-08,high_vol_cluster
2023-09-09,high_vol_cluster
2023-09-10,high_vol_cluster
2023-09-11,high_vol_cluster
2023-09-12,high_vol_cluster
2023-09-13,high_vol_cluster
2023-09-14,high_vol_cluster
2023-09-15,high_vol_cluster
2023-09-16,high_vol_cluster
2023-09-17,high_vol_cluster
2023-09-18,high_vol_cluster
2023-09-19,high_vol_cluster
2023-09-20,high_vol_cluster
2023-09-21,high_vol_cluster
2023-09-22,high_vol_cluster
2023-09-23,high_vol_cluster
2023-09-24,high_vol_cluster
2023-09-25,high_vol_cluster
2023-09-26,high_vol_cluster
2023-09-27,high_vol_cluster
2023-09-28,crash
2023-09-29,crash
2023-09-30,crash
2023-10-01,crash
2023-10-02,crash
2023-10-03,crash
2023-10-04,crash
2023-10-05,crash
2023-10-06,crash
2023-10-07,crash
2023-10-08,crash
2023-10-09,crash
2023-10-10,crash
2023-10-11,crash
2023-10-12,crash
2023-10-13,bear
2023-10-14,bear
2023-10-15,bear
2023-10-16,bear
2023-10-17,bear
2023-10-18,bear
2023-10-19,bear
2023-10-20,bear
2023-10-21,bear
2023-10-22,bear
2023-10-23,bear
2023-10-24,bear
2023-10-25,bear
2023-10-26,bear
2023-10-27,bear
2023-10-28,bear
2023-10-29,bear
2023-10-30,bear
2023-10-31,bear
2023-11-01,bear
2023-11-02,bear
2023-11-03,bear
2023-11-04,bear
2023-11-05,bear
2023-11-06,bear
2023-11-07,bear
2023-11-08,bear
2023-11-09,bear
2023-11-10,bear
2023-11-11,bear
2023-11-12,bear
2023-11-13,bear
2023-11-14,bear
2023-11-15,bear
2023-11-16,bear
2023-11-17,bear
2023-11-18,bear
2023-11-19,bear
2023-11-20,bear
2023-11-21,bear
2023-11-22,bear
2023-11-23,bear
2023-11-24,bear
2023-11-25,bear
2023-11-26,bear
2023-11-27,bear
2023-11-28,bear
2023-11-29,bear
2023-11-30,bear
2023-12-01,bear
2023-12-02,bear
2023-12-03,bear
2023-12-04,bear
2023-12-05,bear
2023-12-06,bear
2023-12-07,bear
2023-12-08,bear
2023-12-09,bear
2023-12-10,bear
2023-12-11,bear
2023-12-12,recovery
2023-12-13,recovery
2023-12-14,recovery
2023-12-15,recovery
2023-12-16,recovery
2023-12-17,recovery
2023-12-18,recovery
2023-12-19,recovery
2023-12-20,recovery
2023-12-21,recovery
2023-12-22,recovery
2023-12-23,recovery
2023-12-24,recovery
2023-12-25,recovery
2023-12-26,recovery
2023-12-27,recovery
2023-12-28,recovery
2023-12-29,recovery
2023-12-30,recovery
2023-12-31,recovery
2024-01-01,recovery
2024-01-02,recovery
2024-01-03,recovery
2024-01-04,recovery
2024-01-05,recovery
2024-01-06,recovery
2024-01-07,recovery
2024-01-08,recovery
2024-01-09,recovery
2024-01-10,recovery
2024-01-11,recovery
2024-01-12,recovery
2024-01-13,recovery
2024-01-14,recovery
2024-01-15,recovery
2024-01-16,recovery
2024-01-17,recovery
2024-01-18,recovery
2024-01-19,recovery
2024-01-20,recovery
2024-01-21,recovery
2024-01-22,recovery
2024-01-23,recovery
2024-01-24,recovery
2024-01-25,recovery
2024-01-26,recovery
2024-01-27,recovery
2024-01-28,recovery
2024-01-29,recovery
2024-01-30,recovery
2024-01-31,recovery
2024-02-01,recovery
2024-02-02,recovery
2024-02-03,recovery
2024-02-04,recovery
2024-02-05,recovery
2024-02-06,recovery
2024-02-07,recovery
2024-02-08,recovery
2024-02-09,recovery
2024-02-10,recovery
2024-02-11,recovery
2024-02-12,recovery
2024-02-13,recovery
2024-02-14,recovery
2024-02-15,recovery
2024-02-16,recovery
2024-02-17,recovery
2024-02-18,recovery
2024-02-19,recovery
2024-02-20,recovery
2024-02-21,recovery
2024-02-22,recovery
2024-02-23,recovery
2024-02-24,recovery
2024-02-25,recovery
2024-02-26,recovery
2024-02-27,recovery
2024-02-28,recovery
2024-02-29,recovery
2024-03-01,recovery
2024-03-02,recovery
2024-03-03,recovery
2024-03-04,recovery
2024-03-05,recovery
2024-03-06,recovery
2024-03-07,recovery
2024-03-08,recovery
2024-03-09,recovery
2024-03-10,recovery
2024-03-11,recovery
2024-03-12,recovery
2024-03-13,recovery
2024-03-14,recovery
2024-03-15,recovery
2024-03-16,recovery
2024-03-17,recovery
2024-03-18,recovery
2024-03-19,recovery
2024-03-20,recovery
2024-03-21,recovery
2024-03-22,recovery
2024-03-23,recovery
2024-03-24,recovery
2024-03-25,recovery
2024-03-26,recovery
2024-03-27,recovery
2024-03-28,recovery
2024-03-29,recovery
2024-03-30,recovery
2024-03-31,recovery
2024-04-01,recovery
2024-04-02,recovery
2024-04-03,recovery
2024-04-04,recovery
2024-04-05,recovery
2024-04-06,recovery
2024-04-07,recovery
2024-04-08,recovery
2024-04-09,recovery
2024-04-10,recovery
2024-04-11,recovery
2024-04-12,recovery
2024-04-13,recovery
2024-04-14,recovery
2024-04-15,recovery
2024-04-16,recovery
2024-04-17,recovery
2024-04-18,recovery
2024-04-19,recovery
2024-04-20,recovery
2024-04-21,recovery
2024-04-22,recovery
2024-04-23,recovery
2024-04-24,recovery
2024-04-25,recovery
2024-04-26,recovery
2024-04-27,recovery
2024-04-28,recovery
2024-04-29,recovery
2024-04-30,recovery
2024-05-01,recovery
2024-05-02,recovery
2024-05-03,recovery
2024-05-04,recovery
2024-05-05,recovery
2024-05-06,recovery
2024-05-07,recovery
2024-05-08,recovery
2024-05-09,recovery
2024-05-10,recovery
2024-05-11,recovery
2024-05-12,recovery
2024-05-13,recovery
2024-05-14,recovery
2024-05-15,recovery
2024-05-16,recovery
2024-05-17,recovery
2024-05-18,recovery
2024-05-19,recovery
2024-05-20,recovery
2024-05-21,recovery
2024-05-22,recovery
2024-05-23,recovery
2024-05-24,recovery
2024-05-25,recovery
2024-05-26,recovery
2024-05-27,recovery
2024-05-28,recovery
2024-05-29,recovery
2024-05-30,recovery
2024-05-31,recovery
2024-06-01,recovery
2024-06-02,recovery
2024-06-03,recovery
2024-06-04,recovery
2024-06-05,recovery
2024-06-06,recovery
2024-06-07,recovery
2024-06-08,recovery
2024-06-09,recovery
2024-06-10,recovery
2024-06-11,recovery
2024-06-12,recovery
2024-06-13,recovery
2024-06-14,recovery
2024-06-15,recovery
2024-06-16,recovery
2024-06-17,recovery
2024-06-18,recovery
2024-06-19,recovery
2024-06-20,recovery
2024-06-21,recovery
2024-06-22,recovery
2024-06-23,recovery
2024-06-24,recovery
2024-06-25,recovery
2024-06-26,recovery
2024-06-27,recovery
2024-06-28,recovery
2024-06-29,recovery
2024-06-30,recovery
2024-07-01,recovery
2024-07-02,recovery
2024-07-03,recovery
2024-07-04,recovery
2024-07-05,recovery
2024-07-06,recovery
2024-07-07,recovery
2024-07-08,recovery
2024-07-09,recovery
2024-07-10,recovery
2024-07-11,recovery
2024-07-12,recovery
2024-07-13,recovery
2024-07-14,recovery
2024-07-15,recovery
2024-07-16,recovery
2024-07-17,recovery
2024-07-18,recovery
2024-07-19,recovery
2024-07-20,recovery
2024-07-21,recovery
2024-07-22,recovery
2024-07-23,recovery
2024-07-24,recovery
2024-07-25,recovery
2024-07-26,recovery
2024-07-27,recovery
2024-07-28,recovery
2024-07-29,recovery
2024-07-30,recovery
2024-07-31,recovery
2024-08-01,recovery
2024-08-02,recovery
2024-08-03,recovery
2024-08-04,recovery
2024-08-05,recovery
2024-08-06,recovery
2024-08-07,recovery
2024-08-08,recovery
2024-08-09,recovery
2024-08-10,recovery
2024-08-11,recovery
2024-08-12,recovery
2024-08-13,recovery
2024-08-14,recovery
2024-08-15,recovery
2024-08-16,recovery
2024-08-17,recovery
2024-08-18,recovery
2024-08-19,recovery
2024-08-20,recovery
2024-08-21,recovery
2024-08-22,recovery
2024-08-23,recovery
2024-08-24,recovery
2024-08-25,recovery
2024-08-26,recovery
2024-08-27,recovery
2024-08-28,recovery
2024-08-29,recovery
2024-08-30,recovery
2024-08-31,recovery
2024-09-01,recovery
2024-09-02,recovery
2024-09-03,recovery
2024-09-04,recovery
2024-09-05,recovery
2024-09-06,recovery
2024-09-07,recovery
2024-09-08,recovery
2024-09-09,recovery
2024-09-10,recovery
2024-09-11,recovery
2024-09-12,recovery
2024-09-13,recovery
2024-09-14,recovery
2024-09-15,recovery
2024-09-16,recovery
2024-09-17,recovery
2024-09-18,recovery
2024-09-19,recovery
2024-09-20,recovery
2024-09-21,recovery
2024-09-22,recovery
2024-09-23,recovery
2024-09-24,recovery
2024-09-25,recovery
2024-09-26,recovery
2024-09-27,recovery
2024-09-28,recovery
2024-09-29,recovery
2024-09-30,recovery
2024-10-01,recovery
2024-10-02,recovery
2024-10-03,recovery
2024-10-04,recovery
2024-10-05,recovery
2024-10-06,recovery
2024-10-07,recovery
2024-10-08,recovery
2024-10-09,recovery
2024-10-10,recovery
2024-10-11,recovery
2024-10-12,recovery
2024-10-13,recovery
2024-10-14,recovery
2024-10-15,recovery
2024-10-16,recovery
2024-10-17,recovery
2024-10-18,recovery
2024-10-19,recovery
2024-10-20,recovery
2024-10-21,recovery
2024-10-22,recovery
2024-10-23,recovery
2024-10-24,recovery
2024-10-25,recovery
2024-10-26,recovery
2024-10-27,recovery
2024-10-28,recovery
2024-10-29,recovery
2024-10-30,recovery
2024-10-31,recovery
2024-11-01,recovery
2024-11-02,recovery
2024-11-03,recovery
2024-11-04,recovery
2024-11-05,recovery
2024-11-06,recovery
2024-11-07,recovery
2024-11-08,recovery
2024-11-09,recovery
2024-11-10,recovery
2024-11-11,recovery
2024-11-12,recovery
2024-11-13,recovery
2024-11-14,recovery
2024-11-15,recovery
2024-11-16,recovery
2024-11-17,recovery
2024-11-18,recovery
2024-11-19,recovery
2024-11-20,recovery
2024-11-21,recovery
2024-11-22,recovery
2024-11-23,recovery
2024-11-24,recovery
2024-11-25,recovery
2024-11-26,recovery
2024-11-27,recovery
2024-11-28,recovery
2024-11-29,recovery
2024-11-30,recovery
2024-12-01,recovery
2024-12-02,recovery
2024-12-03,recovery
2024-12-04,recovery
2024-12-05,recovery
2024-12-06,recovery
2024-12-07,recovery
2024-12-08,recovery
2024-12-09,recovery
2024-12-10,recovery
2024-12-11,recovery
2024-12-12,recovery
2024-12-13,recovery
2024-12-14,recovery
2024-12-15,recovery
2024-12-16,recovery
2024-12-17,recovery
2024-12-18,recovery
2024-12-19,recovery
2024-12-20,recovery
2024-12-21,recovery
2024-12-22,recovery
2024-12-23,recovery
2024-12-24,recovery
2024-12-25,recovery
2024-12-26,recovery
2024-12-27,recovery
2024-12-28,recovery
2024-12-29,recovery
2024-12-30,recovery
